name;summary
/qiskit/qiskit.circuit.library.generalized_gates.isometry.Isometry;Decomposition of arbitrary isometries from :math:`m` to :math:`n` qubits.
/qiskit/qiskit.circuit.library.generalized_gates.linear_function.LinearFunction;A linear reversible circuit on n qubits.
/qiskit/qiskit.circuit.library.generalized_gates.mcg_up_to_diagonal.MCGupDiag;Decomposes a multi-controlled gate :math:`U` up to a diagonal :math:`D` acting on the control and target qubit (but not on the ancilla qubits), i.e., it implements a circuit corresponding to a unitary :math:`U'`, such that :math:`U = D U'`.
/qiskit/qiskit.circuit.library.generalized_gates.mcmt.MCMTVChain;The MCMT implementation using the CCX V-chain.
/qiskit/qiskit.circuit.library.generalized_gates.pauli.PauliGate;A multi-qubit Pauli gate.
/qiskit/qiskit.circuit.library.generalized_gates.pauli_product_rotation.PauliProductRotationGate;A generic Pauli rotation.
/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;An n_qubit circuit that permutes qubits.
/qiskit/qiskit.circuit.library.generalized_gates.permutation.PermutationGate;A gate that permutes qubits.
/qiskit/qiskit.circuit.library.generalized_gates.rv.RVGate;Rotation around arbitrary rotation axis :math:`\vec{v}` where :math:`\|\vec{v}\|_2` is angle of rotation in radians.
/qiskit/qiskit.circuit.library.generalized_gates.uc.UCGate;Uniformly controlled gate (also called multiplexed gate).
/qiskit/qiskit.circuit.library.generalized_gates.ucrz.UCRZGate;Uniformly controlled Pauli-Z rotations.
/qiskit/qiskit.circuit.library.generalized_gates.unitary.UnitaryGate;Class for quantum gates specified by a unitary matrix.
/qiskit/qiskit.circuit.library.graph_state.GraphState;Circuit to prepare a graph state.
/qiskit/qiskit.circuit.library.graph_state.GraphStateGate;A gate representing a graph state.
/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;The Grover operator.
/qiskit/qiskit.circuit.library.hamiltonian_gate.HamiltonianGate;Class for representing evolution by a Hamiltonian operator as a gate.
/qiskit/qiskit.circuit.library.hidden_linear_function.HiddenLinearFunction;Circuit to solve the hidden linear function problem.
/qiskit/qiskit.circuit.library.iqp.IQP;Instantaneous quantum polynomial (IQP) circuit.
/qiskit/qiskit.circuit.library.iqp.random_iqp;A random instantaneous quantum polynomial time (IQP) circuit.
/qiskit/qiskit.circuit.library.n_local.efficient_su2.EfficientSU2;The hardware efficient SU(2) 2-local circuit.
/qiskit/qiskit.circuit.library.n_local.evolved_operator_ansatz.hamiltonian_variational_ansatz;Construct a Hamiltonian variational ansatz.
/qiskit/qiskit.circuit.library.n_local.evolved_operator_ansatz.EvolvedOperatorAnsatz;The evolved operator ansatz.
/qiskit/qiskit.circuit.library.n_local.excitation_preserving.ExcitationPreserving;The heuristic excitation-preserving wave function ansatz.
/qiskit/qiskit.circuit.library.n_local.n_local.NLocal;The n-local circuit class.
/qiskit/qiskit.circuit.library.n_local.pauli_two_design.PauliTwoDesign;The Pauli Two-Design ansatz.
/qiskit/qiskit.circuit.library.n_local.qaoa_ansatz.QAOAAnsatz;A generalized QAOA quantum circuit with a support of custom initial states and mixers.
/qiskit/qiskit.circuit.library.n_local.real_amplitudes.RealAmplitudes;The real-amplitudes 2-local circuit.
/qiskit/qiskit.circuit.library.n_local.two_local.TwoLocal;The two-local circuit.
/qiskit/qiskit.circuit.library.overlap.UnitaryOverlap;Circuit that returns the overlap between two unitaries :math:`U_2^{\dag} U_1`.
/qiskit/qiskit.circuit.library.pauli_evolution.PauliEvolutionGate;Time-evolution of an operator consisting of Paulis.
/qiskit/qiskit.circuit.library.pauli_product_measurement.PauliProductMeasurement;Pauli Product Measurement instruction.
/qiskit/qiskit.circuit.library.phase_estimation.PhaseEstimation;Phase Estimation circuit.
/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracle;Phase Oracle.
/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracleGate;Implements a phase oracle.
/qiskit/qiskit.circuit.library.quantum_volume.QuantumVolume;A quantum volume model circuit.
