name,summary,pattern
dynamic/pyquil/AbstractQuantumSimulator,AbstractQuantumSimulator: implementation of the Variational Quantum Algorithm (VQA) pattern.,Variational Quantum Algorithm (VQA)
dynamic/pyquil/ArithmeticBinaryOp,ArithmeticBinaryOp: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/pyquil/DefPermutationGate,DefPermutationGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/pyquil/LogicalBinaryOp,LogicalBinaryOp: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/pyquil/Pow,Pow: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/pyquil/get_qubits,get_qubits: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/pyquil/recalculation_table,recalculation_table: implementation of the Function Table pattern.,Function Table
