name,summary,pattern
dynamic/Qualtran/test_black_box_select_block_encoding,test_black_box_select_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_cnot_truth_table,test_cnot_truth_table: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_df_block_encoding,test_df_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_explicit_entry_oracle,test_explicit_entry_oracle: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_hamiltonian_simulation_by_gqsp,test_hamiltonian_simulation_by_gqsp: implementation of the Hamiltonian Simulation pattern.,Hamiltonian Simulation
dynamic/Qualtran/test_hamiltonian_simulation_by_gqsp_t_complexity,test_hamiltonian_simulation_by_gqsp_t_complexity: implementation of the Hamiltonian Simulation pattern.,Hamiltonian Simulation
dynamic/Qualtran/test_i_truth_table,test_i_truth_table: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_lcu_block_encoding,test_lcu_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_logical_error_model,test_logical_error_model: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Qualtran/test_logical_error_rate,test_logical_error_rate: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Qualtran/test_mean_estimation_grover,test_mean_estimation_grover: implementation of the Grover pattern.,Grover
dynamic/Qualtran/test_multi_truth_table,test_multi_truth_table: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_one_body_block_encoding,test_one_body_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_phase_estimation_of_qubitized_hubbard_model_notebook,test_phase_estimation_of_qubitized_hubbard_model_notebook: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_phase_oracle,test_phase_oracle: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_phase_oracle_consistent_protocols,test_phase_oracle_consistent_protocols: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_prepare_oracle,test_prepare_oracle: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_qpe_of_gqsp,test_qpe_of_gqsp: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_qubitization_phase_estimation_of_walk,test_qubitization_phase_estimation_of_walk: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_qubitization_qpe_chem_thc_bloq_autotester,test_qubitization_qpe_chem_thc_bloq_autotester: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_qubitization_qpe_hubbard_model_large_autotester,test_qubitization_qpe_hubbard_model_large_autotester: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_qubitization_qpe_hubbard_model_small_autotester,test_qubitization_qpe_hubbard_model_small_autotester: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_qubitization_qpe_sparse_chem_bloq_autotester,test_qubitization_qpe_sparse_chem_bloq_autotester: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_select_block_encoding,test_select_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_select_oracle,test_select_oracle: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_sf_block_encoding,test_sf_block_encoding: implementation of the Data Encoding pattern.,Data Encoding
dynamic/Qualtran/test_symmetric_banded_row_column_oracle,test_symmetric_banded_row_column_oracle: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_symmetric_banded_row_column_oracle_classical,test_symmetric_banded_row_column_oracle_classical: implementation of the Oracle pattern.,Oracle
dynamic/Qualtran/test_textbook_phase_estimation_qubitized_walk,test_textbook_phase_estimation_qubitized_walk: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_textbook_phase_estimation_zpow_theta,test_textbook_phase_estimation_zpow_theta: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Qualtran/test_truth_table,test_truth_table: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_truth_table_classical,test_truth_table_classical: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_truth_table_using_classical_sim,test_truth_table_using_classical_sim: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/test_x_truth_table,test_x_truth_table: implementation of the Function Table pattern.,Function Table
dynamic/Qualtran/verify_hamiltonian_simulation_by_gqsp,verify_hamiltonian_simulation_by_gqsp: implementation of the Hamiltonian Simulation pattern.,Hamiltonian Simulation
