name,summary,pattern
dynamic/qBraid/RZZGate,RZZGate: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/qBraid/U2Gate,U2Gate: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/qBraid/ZPowGate,ZPowGate: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/qBraid/reverse_qubit_order,reverse_qubit_order: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/qBraid/simplify_arithmetic_expressions,simplify_arithmetic_expressions: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
