name,summary,pattern
dynamic/qiskit-nature/UCC,UCC: implementation of the Variational Quantum Eigensolver (VQE) pattern.,Variational Quantum Eigensolver (VQE)
dynamic/qiskit-nature/ansatz,ansatz: implementation of the Variational Quantum Algorithm (VQA) pattern.,Variational Quantum Algorithm (VQA)
dynamic/qiskit-nature/num_qubits,num_qubits: implementation of the Variational Quantum Algorithm (VQA) pattern.,Variational Quantum Algorithm (VQA)
dynamic/qiskit-nature/pauli_table,pauli_table: implementation of the Function Table pattern.,Function Table
