name,summary,pattern
generalized_gates.uc_pauli_rot.UCPauliRotGate,Uniformly controlled Pauli rotations.,Circuit Construction Utility
generalized_gates.ucrz.UCRZGate,Uniformly controlled Pauli-Z rotations.,Circuit Construction Utility
generalized_gates.unitary.UnitaryGate,Class quantum gates specified by a unitary matrix.,Circuit Construction Utility
graph_state.GraphState,Circuit to prepare a graph state.,Creating Entanglement
graph_state.GraphStateGate,A gate representing a graph state.,Creating Entanglement
grover_operator.GroverOperator,The Grover operator.,Grover
hamiltonian_gate.HamiltonianGate,Class for representing evolution by a Hamiltonian operator as a gate.,Hamiltonian Simulation
hidden_linear_function.HiddenLinearFunction,Circuit to solve the hidden linear function problem.,Oracle
iqp.IQP,Instantaneous quantum polynomial (IQP) circuit.,Circuit Construction Utility
iqp.random_iqp,A random instantaneous quantum polynomial time (IQP) circuit.,Circuit Construction Utility
n_local.efficient_su2.EfficientSU2,The hardware efficient SU(2) 2-local circuit.,Variational Quantum Algorithm (VQA)
n_local.evolved_operator_ansatz.hamiltonian_variational_ansatz,Construct a Hamiltonian variational ansatz.,Variational Quantum Algorithm (VQA)
n_local.evolved_operator_ansatz.EvolvedOperatorAnsatz,The evolved operator ansatz.,Variational Quantum Algorithm (VQA)
n_local.excitation_preserving.ExcitationPreserving,The heuristic excitation-preserving wave function ansatz.,Variational Quantum Algorithm (VQA)
n_local.n_local.NLocal,The n-local circuit class.,Variational Quantum Algorithm (VQA)
n_local.pauli_two_design.PauliTwoDesign,The Pauli Two-Design ansatz.,Variational Quantum Algorithm (VQA)
n_local.qaoa_ansatz.QAOAAnsatz,A generalized QAOA quantum circuit with a support of custom initial states and mixers.,Quantum Approximate Optimization Algorithm (QAOA)
n_local.real_amplitudes.RealAmplitudes,The real-amplitudes 2-local circuit.,Variational Quantum Algorithm (VQA)
n_local.two_local.TwoLocal,The two-local circuit.,Variational Quantum Algorithm (VQA)
overlap.UnitaryOverlap,Circuit that returns the overlap between two unitaries.,Circuit Construction Utility
pauli_evolution.PauliEvolutionGate,Time-evolution of an operator consisting of Paulis.,Hamiltonian Simulation
phase_estimation.PhaseEstimation,Phase Estimation circuit.,Quantum Phase Estimation (QPE)
phase_oracle.PhaseOracle,Phase Oracle.,Oracle
phase_oracle.PhaseOracleGate,Implements a phase oracle.,Oracle
quantum_volume.QuantumVolume,A quantum volume model circuit.,Circuit Construction Utility
